target,imp
ASCT2,0.28809877831860375
ATP5A,0.19847872755332738
CD11c,0.09490524910806235
CD14,0.09606706227114842
CD3,0.07709370647811052
CD31,0.07335501069394502
CD36,0.10321117146161317
CD39,0.698040570537218
CD4,0.6854345932963727
CD45,0.07838059429722523
CD57,0.0702537632585026
CD68,0.08963374617538325
CD8,0.09157983647696505
CD98,0.27633792577517285
CK,1.035239231014343
CPT1A,1.4027474444268038
CS,0.1891594759935924
Ecad,1.015079591722492
G6PD,0.09294887828294712
H3,0.14769099715999043
HIF1A,0.4077600592105282
HK1,0.09634909395602646
IDH2,0.6887951483490578
Ki67,0.26819346177514986
LDHA,0.5073352221320697
NRF2p,0.7920088616023782
NaKATPase,0.7699426034873735
PD1,0.13040986806040147
PKM2,0.1497259734304095
S6p,0.47978807235184634
SDHA,0.791994597881705
SMA,0.10105654712979659
VDAC1,0.0950882038955174
XBP1,0.06725890709371879
vimentin,0.17382904236845895
