target,imp
ASCT2,0.4184883494192124
ATP5A,0.4369919031355384
CD11c,0.29637682371831003
CD14,0.2538466052967967
CD3,0.26605601615432656
CD31,0.22054059097779075
CD36,0.2309026266965485
CD39,2.1214325800546616
CD4,0.4249853209995677
CD45,0.853288218069403
CD57,0.3476349832028841
CD68,0.22860267760438355
CD8,0.24134595921947505
CD98,0.1607051197202555
CK,0.3321173201840803
CPT1A,1.5067596329512463
CS,0.1670904740754497
Ecad,0.3192544413035456
G6PD,0.2516032844414583
GLUT1,1.1093888085031351
H3,0.19588816742057585
HIF1A,0.17541636507231662
HK1,0.21295332515860443
IDH2,0.3026850778073341
Ki67,0.16207293162762995
LDHA,0.23376595899334546
NRF2p,0.6008605692896587
PD1,0.18532133982651822
PKM2,0.1966691955148124
S6p,0.8826357838584659
SDHA,0.5730719400564123
SMA,2.039581466723045
VDAC1,0.6590504034156878
XBP1,0.25958991553130295
vimentin,0.7642150668066169
