target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
ASCT2 0.0385634334394811 78.9945108892893 0.0385799276272053 78.9793699547264 0.504160944753602 0.503667351479679
CD14 0.0396957621136813 81.9529233045844 0.0397152120571194 81.937974998218 0.504799154364113 0.502167633382686
CD31 0.0466003580613554 67.1343279015844 0.0465716630041153 67.2570656602065 0.495414179676327 0.495773082499198
ATP5A 0.0384546151301116 88.9347615725161 0.0384907772085469 88.9161201423481 0.514258282356268 0.509728453170288
CD39 0.0360667452826334 88.6756258741779 0.0359974704390962 88.7208133688492 0.460849412161794 0.478786870812833
CD3 0.0418888870882441 58.8142430914312 0.0418981092232556 58.8145007232281 0.501081193064709 0.499975505040927
CD45 0.0378613117181587 88.0637601388784 0.0378567709861247 88.0679331375719 0.499002659330643 0.498688232033571
CD36 0.0421179591590499 52.0459256254776 0.0420279200686052 52.2175404862592 0.479774379604395 0.481406214050069
CD11c 0.0579956497371289 37.0294093138224 0.0579047603070347 37.2155554931055 0.493453353762648 0.484878207160186
CD4 0.0337968836934417 86.9680701156455 0.0337367624094815 87.0185336155493 0.485351645673758 0.482164742451157
CD68 0.0479553992796812 79.1562504860644 0.0480491040573372 79.0859555344753 0.512872980698691 0.508311786077111
CK 0.0342529303168584 93.3764555206588 0.0342815012707235 93.363301199255 0.505875211469409 0.505465953751329
CD57 0.0552977664806466 43.7836655882157 0.0552755298798046 43.8128439593789 0.495429771124971 0.497982468562943
CS 0.0366573756824903 86.3883926667809 0.0367039123098257 86.3552822952699 0.508528116852469 0.507502315636105
CD8 0.0534817916532199 67.5656236879844 0.0535546401920224 67.4758024804433 0.51499338180919 0.514850075825301
CPT1A 0.0371712238529599 93.7734140706953 0.0370942869950336 93.7962207449756 0.486468283066433 0.48444295764165
G6PD 0.0430444577418262 70.5122836739728 0.0430944250165282 70.4368197443427 0.513432570975574 0.510890476891457
Ecad 0.0319807338710299 93.6710077719309 0.0319621444046812 93.6770436787634 0.495216294167754 0.496294254254356
H3 0.0473715666710387 75.5529892362374 0.0470022630010868 75.9762939745333 0.393456390705731 0.416446212483108
CD98 0.0365708533197963 87.1709420532625 0.0365300639128369 87.1907351899704 0.490962834730401 0.494864140982734
HK1 0.0357304208842049 67.976043844055 0.0348669089557567 69.4632012022129 0.232301813275966 0.216350835800449
GLUT1 0.041345634822501 84.470851760519 0.0413917467429569 84.4372188779714 0.510278880709951 0.506978075931754
LDHA 0.0382992426491822 83.1245142239506 0.0381946921480655 83.2030635558282 0.463267920496387 0.487156053545089
HIF1A 0.0485270000712481 85.8989752167841 0.048377742315686 85.9950997548 0.479028117773318 0.472372556496573
NaKATPase 0.0347544840202646 92.4554570313709 0.0347651281620535 92.4530444667003 0.502185698026864 0.50099822498508
IDH2 0.0389975728139789 90.3887612699905 0.0389730811899022 90.4035824800627 0.494059145015346 0.492400964947144
PKM2 0.0346049108684846 60.3704409837536 0.0344851220695243 60.7119548788435 0.463499759828329 0.459234175531844
NRF2p 0.034334434271721 91.3703007942442 0.0343521627231923 91.361536685721 0.507706322064114 0.505104908139188
SDHA 0.0391958809784984 91.3649210438531 0.0392510017289783 91.3390371566872 0.522227810315471 0.521768081178338
PD1 0.0474876822089666 62.1543765264377 0.0475119664702118 62.1161037270864 0.504725467007369 0.504810619153418
Ki67 0.0675686542577191 61.8296715815734 0.0673487899936514 62.1018431333904 0.463768139338152 0.455692226478188
S6p 0.0427403432027126 89.6672071687158 0.0427889658087959 89.6422202051298 0.510785793173554 0.508947473088399
VDAC1 0.0451800780918335 75.4666411899665 0.0452066759452203 75.4402011124152 0.50615152660443 0.506244016614981
SMA 0.0320981015554126 86.7146823119595 0.0320345643891993 86.7767949175482 0.486499043740677 0.486883603316328
XBP1 0.0450654676854846 74.0223535831085 0.0450069035246113 74.0876498726527 0.486248506506238 0.486205552610708
vimentin 0.0352888912671437 93.1605272154693 0.035099031161375 93.2444697867551 0.462231938661427 0.452290189603837
