target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
H3 0.0423106490424797 45.8037369876987 0.0410501700713652 48.9255358751505 0.105660552686374 0.0701986252610333
CD98 0.101336245819303 64.6783738832316 0.10010605488386 65.5466571992864 0.378701599147847 0.391705846628374
CD4 0.0983008512407328 70.4638939450319 0.0967793330466179 71.3176076643953 0.363575834248881 0.389287921163987
vimentin 0.0688881202167894 54.6938165339104 0.0685529793585491 55.1674891172594 0.465927601354063 0.447744830200814
CD45 0.0740365943444507 79.0131473330556 0.0730319398995117 79.6179099195275 0.384296977373329 0.401885255302596
CD31 0.103669699682342 41.2704490300025 0.102193838069411 43.4686083424789 0.446009073084892 0.413958574826406
NRF2p 0.114403571105775 60.702595995151 0.114022436400971 60.8696355112196 0.457749774321973 0.478157794981787
Ki67 0.044378386233805 1.38229453992844 0.044458407517683 1.33298299552112 0.502681322465394 0.516500670642341
SMA 0.0786592846790809 44.6253152404206 0.0662717949760175 60.6601303548749 0.00385298279665069 0.00181259448541807
CD14 0.105846330107101 55.1360828029474 0.105514481127247 55.4388607412807 0.479048792176292 0.473052310566841
CD11c 0.020803308280242 1.07660620914715 0.0205922991493322 3.77411485037594 0.486239485233228 0.0807782061615868
PD1 0.0793672782011442 27.7699476643967 0.0774765607694868 31.8345660890681 0.382770897647409 0.207661981648063
SDHA 0.104181216200695 61.1076194426129 0.103683589871121 61.4945858482615 0.429380821791363 0.428557096169184
CD36 0.0128844880711135 0.628574203956144 0.0128253290102854 0.524643517475788 0.495713374121756 0.556702489364787
CS 0.0552288520013561 78.0409165111017 0.0553015024700085 77.9901194774599 0.51174261108095 0.512097204914448
CD68 0.0755151065370649 11.1934206126891 0.0754698052308489 11.2759451295885 0.497646680540788 0.492094674444986
CD3 0.111897302201509 76.6278894161841 0.109780717254952 77.5140602997469 0.16290745599127 0.226827637661893
ATP5A 0.0872033154911958 69.0723741541145 0.086665931970208 69.428409331331 0.427958937290906 0.444547983754842
S6p 0.108864238459651 62.296330747502 0.106126440069618 64.1705383377773 0.217608137241245 0.23741976691508
VDAC1 0.0644345224423753 60.4911663619136 0.0640830393991068 60.9210122005947 0.4507950144549 0.446932798975898
XBP1 0.117721792431459 14.9084850344514 0.117846989131197 14.7472248967609 0.508125581957827 0.515249198856944
CD39 0.0910183263890348 60.0307610637391 0.0894170195399253 61.4496026562779 0.320433728836955 0.302996321254486
GLUT1 0.143439761057522 44.6724724560285 0.126329320456372 56.9535541776689 0.00102010401576139 0.000816874131099474
CD57 0.0753884413815088 8.13075620568404 0.0744099592501383 9.23992009744167 0.458213211537871 0.351379058922454
CK 0.0204674272085001 11.4218188447624 0.0205977525099057 7.38439289429942 0.511200165722433 0.749313682455166
G6PD 0.0892583990688343 58.4876790532532 0.0893796893227507 58.3498428502407 0.514346018489051 0.519510637982857
IDH2 0.0577038747022594 77.0324734208914 0.0577907359033387 76.9649307568304 0.511492549818841 0.510001506697291
Ecad 0.0665932639515055 63.6857886982377 0.0648576050626784 65.5521206407738 0.15172189697465 0.093274267669616
CD8 0.156525895827507 37.4288847324343 0.155832384058598 37.9646987534744 0.432089765442514 0.419564841235314
PKM2 0.0490521974663505 77.4718922935789 0.0489878778235271 77.5284307777033 0.483234032144925 0.48854669047788
LDHA 0.0633438101638073 68.9013080374606 0.0611146869356203 71.0921159902097 0.236177890952703 0.206383062480742
NaKATPase 0.0842466897821696 61.9042079321529 0.0836572653217309 62.4314951893614 0.419806508012279 0.429811919096128
HK1 0.0644022851081123 82.6024318233988 0.0643880303660765 82.5989179113802 0.497941341947962 0.501028587009249
ASCT2 0.116792754589027 41.6528526169902 0.116656520537131 41.7498634452629 0.470671549211234 0.488552006670112
CPT1A 0.0797651472894914 57.9064008705772 0.077396486981158 60.2777726012616 0.204892633351192 0.239696760170516
HIF1A 0.0826698382462829 6.58677200238927 0.0822398972880342 7.35136653747642 0.481353145952274 0.404674223667627
