target,imp
H3,0.26661100403326154
vimentin,0.5244019286644367
SMA,0.4032220416343937
CD98,2.6575547880039374
NRF2p,0.3315698094369616
CD4,1.1861335498349896
CD14,0.7548542878678381
CD45,0.7558409848773741
PD1,0.22716440863703158
CD31,0.12152796535771213
SDHA,0.44013574251593324
Ki67,0.38151223885413726
CS,0.5831620358625659
S6p,0.5033247616712773
CD11c,0.10998894713128095
CD68,0.10308415599845375
CD36,0.07167706426255016
ATP5A,0.3907806085023248
CD3,0.598677175405777
CD39,1.3570692474709838
VDAC1,0.3096419730273902
G6PD,0.31135805017304086
XBP1,0.24240641155826823
PKM2,1.2629018338222604
ASCT2,1.8148079631770782
GLUT1,0.7100336880023367
CD8,0.17434921213803212
CD57,0.17419853568176064
LDHA,1.9136351124400095
IDH2,0.7874979085591244
HK1,0.5515359410099039
Ecad,1.3955315478916805
CPT1A,0.574618323867335
CK,0.5930878308297678
HIF1A,0.033033717299116694
