target,imp
H3,0.9931453712128601
vimentin,1.0098521980760784
SMA,1.1799001628339714
CD98,1.7469742248975746
NRF2p,1.1668009175305019
CD4,1.2484711475899417
CD14,2.2528410645281935
CD45,4.494149979715032
PD1,3.1420177585096023
CD31,1.9264102636755747
SDHA,1.2481792101702802
Ki67,1.4850533321793886
CS,1.019473320571669
S6p,1.3051120215124847
CD68,3.4344876191470473
CD36,2.0067062433218554
ATP5A,1.2435765774903005
CD3,4.738441677085074
CD39,1.309318271458569
VDAC1,0.9426609349591806
G6PD,0.9862310495573888
XBP1,1.3094374883136632
PKM2,1.1067472738572235
ASCT2,1.172141651126566
GLUT1,0.9731417732644461
CD8,3.8888842340578877
CD57,1.5086578038504768
LDHA,1.0682491059680113
IDH2,0.8445693215352793
HK1,1.2348302252979966
Ecad,1.3590025369450691
CPT1A,1.1777300036117109
CK,2.090026088703142
NaKATPase,1.2096699379898301
HIF1A,1.515507834139749
