target,imp
H3,1.0651396349312257
vimentin,1.8380577232634367
SMA,1.5142858641144579
CD98,1.6077604746334089
NRF2p,1.2177223782881332
CD4,1.2489573120289768
CD14,2.342891548191183
CD45,1.345576563143591
PD1,1.8298530119631793
CD31,1.6689596823338781
SDHA,1.2358365569969891
Ki67,1.8653810962464015
CS,1.1983240250647094
S6p,2.650020744140333
CD11c,1.9918502780744434
CD68,2.389233188062397
CD36,2.425085407571868
ATP5A,1.4391073237765355
CD3,1.483630456796954
CD39,1.780873656821637
VDAC1,1.2853977753542645
G6PD,1.3387178255931766
PKM2,1.529530035893368
ASCT2,1.4739491018796225
GLUT1,1.496815755260613
CD8,1.4426798986364782
CD57,1.611192207105458
LDHA,1.3698491813262144
IDH2,1.28001595560617
HK1,1.3889642538853297
Ecad,1.5780373094002644
CPT1A,1.3325339290013938
CK,1.8252849999036824
NaKATPase,1.936968189477688
HIF1A,1.8980740888766234
