target,imp
H3,0.17524199547391145
SMA,0.31151902067740905
CD98,0.4267310370295413
NRF2p,0.18859985573760585
CD4,0.6012597037194696
CD14,0.688175947658371
CD45,0.7418890249315052
PD1,0.28211090543602035
CD31,0.8067252341191287
SDHA,0.22977707004787795
Ki67,0.3488911442033658
CS,0.1886801090592864
S6p,0.3241044211397459
CD11c,0.5324613305577364
CD68,0.268083870634761
CD36,0.34213762684395843
ATP5A,0.16441457699768264
CD3,0.5618298343857053
CD39,0.4205583959702357
VDAC1,0.1693210144640154
G6PD,0.20057253563046737
XBP1,0.36190817647675805
PKM2,0.319481099521386
ASCT2,0.25360549694020934
GLUT1,0.3486617763964835
CD8,0.2509698890455748
CD57,0.25544505824800967
LDHA,0.22904660371327235
IDH2,0.1829880572449204
HK1,0.3606865507911708
Ecad,0.3239481986481777
CPT1A,0.2239056598200533
CK,0.2957844254327229
NaKATPase,0.35109754608926025
HIF1A,0.36106161859253255
