target,imp
H3,0.3650989816905353
vimentin,0.39138480652588925
SMA,0.4077043284323418
CD98,0.49323456838874613
NRF2p,0.3992871176888954
CD4,0.6339971021596229
CD14,0.45168137578684237
CD45,0.44096865877571756
PD1,0.4591185174195803
CD31,0.4451977744723078
SDHA,0.4540362565813313
Ki67,0.6050332455818616
CS,0.31945875758903186
S6p,0.33874262098906577
CD11c,0.40098687635241154
CD68,0.48353694146877346
CD36,0.3985211384519808
ATP5A,0.3652267158473548
CD3,0.5556383684011968
CD39,0.362523044065645
VDAC1,0.319545402049547
G6PD,0.3687509157669608
XBP1,0.44133342992254115
PKM2,0.36975097695651543
ASCT2,0.38664044560574196
CD8,0.48888851734972666
CD57,0.40184461466388244
LDHA,0.36465173487582875
IDH2,0.33808342022567556
HK1,0.34634061335802274
Ecad,0.3879901753556696
CPT1A,0.32352659929871863
CK,0.45583411532495544
NaKATPase,0.3629280616988541
HIF1A,0.47224742045031304
