target intercept intra para.35 p.intercept p.intra p.para.35
H3 -0.367078326584019 1.12145495186967 0.365298510613486 NA 0 6.59992409612897e-08
vimentin -0.144260498999905 1.05576210878182 0.168244736524567 NA 0 0.000663304329801884
CD98 -0.0325941419303807 1.058701594223 0.0295816343317456 NA 0 0.489687489464108
SMA -0.255689648805894 0.917551595393429 0.497835887207188 NA 0 0
NRF2p -0.0466485680508717 1.15475559892739 -0.0854816165000207 NA 0 0.038934655558422
CD4 -0.0308995323477452 1.06756358850455 0.00220421742967028 NA 0 0.955585910458258
CD14 -0.0310323018142233 1.05145777827337 0.0242472592081355 NA 0 0.636454062698904
CD45 -0.0475616293865929 1.07978056799915 0.101406264456965 NA 0 0.0112867494242395
PD1 -0.0475097682609026 1.07329498733294 0.31880111575607 NA 0 8.46277082631186e-05
CD31 -0.0215138835184151 1.04019729670745 0.0902108800636872 NA 0 0.278733311279964
Ki67 -0.0479264687763132 0.905226847758559 0.292623408311625 NA 0 1.41091848426811e-07
SDHA -0.122942628810257 0.953794389459277 0.24410786807883 NA 0 3.66164727250151e-05
CS -0.0593328972362863 0.992869730031867 0.0976338640423541 NA 0 0.00350435943037919
CD11c -0.0192620858537268 1.06733792863423 0.131130001094172 NA 0 0.0893528859764292
S6p -0.0237773770439899 0.952854746045245 0.113512741306546 NA 0 0.051120175655313
CD68 -0.035556292212962 0.978691406095669 0.188544069746436 NA 0 0.000250393721580755
CD36 -0.0466714852504626 0.973922106612048 0.340534387574666 NA 0 0.000246222415697384
CD3 -0.0178801245973165 1.12420273223368 0.001672680475158 NA 0 0.977456302052201
ATP5A -0.0350467521128258 1.11307585563438 -0.0566051816207536 NA 0 0.145851665313158
CD39 -0.0366780718827885 1.03194935410164 0.0560608967131947 NA 0 0.227042216092507
VDAC1 -0.0555405364897932 1.08947351910188 -0.0115568292238201 NA 0 0.853129504030494
G6PD -0.0400964245298886 1.12793341431784 -0.0588603200639848 NA 0 0.464619609489895
XBP1 -0.057653417671834 1.1367802565481 0.0139112679051845 NA 0 0.876359791018529
PKM2 -0.0588534303284325 1.11419936112499 -0.0117932913829616 NA 0 0.777017709126063
GLUT1 -0.0663178042083156 0.855486461978034 0.279825860027711 NA 0 5.04869619846193e-05
CD57 -0.0219420937789945 1.19018943966143 0.0121098506823181 NA 0 0.894280878101596
CD8 -0.00885268192975007 0.966483159772983 0.0458340224934506 NA 0 0.642511485453246
ASCT2 -0.0357287329256744 1.04084237145599 0.0169604620238526 NA 0 0.777887036145009
LDHA -0.0792999865235769 0.867831736126071 0.248625894752058 NA 0 6.65085764239848e-11
IDH2 -0.0364489297867907 1.11403726922509 -0.0631685372774087 NA 0 0.0926843349354498
HK1 -0.0422195982318121 1.06478537452701 0.0464674221872361 NA 0 0.303420222352596
Ecad -0.0304281925794345 1.029816697429 0.0237738843871738 NA 0 0.555861211474983
CK -0.042744455814526 1.01058766232575 0.127720918810261 NA 0 0.00124406779976893
CPT1A -0.0385378761051908 1.00494693913149 0.0588228966008265 NA 0 0.180427405280396
NaKATPase -0.0467232914260234 0.964772985101116 0.117229081909062 NA 0 0.00136225308291293
HIF1A -0.0319750372263991 1.19803063855067 0.187699401124893 NA 0 0.068723246475352
