target,imp
H3,0.5632554425601328
vimentin,0.9267272874708836
SMA,0.9712353389470545
CD98,0.4833596106711903
NRF2p,0.3218554298704669
CD4,0.36055098187358725
CD14,0.546821569597666
CD45,0.7660658905759118
PD1,0.4861083782797415
CD31,0.5440805665070458
SDHA,0.3507391963232584
Ki67,1.485432983425726
CS,0.2836241598524576
S6p,0.42450624549687377
CD11c,0.8248748588065421
CD68,0.6382653019309377
CD36,0.631767432244526
ATP5A,0.3948285409047238
CD3,0.41001913541264356
CD39,0.5131942037582373
VDAC1,0.34997853665180534
G6PD,0.312527028214548
XBP1,0.44390956977959833
PKM2,0.3354406644591657
ASCT2,0.4025199731104186
GLUT1,0.3969046082698059
CD8,0.45310287293477686
CD57,0.3916590396523696
LDHA,0.3635658228531065
IDH2,0.28564827285578337
HK1,0.4841116129031683
Ecad,0.5308418621369092
CPT1A,0.32398470208324687
CK,2.4438456103124904
HIF1A,0.5154199406915397
