target,imp
H3,5.956301161531766
vimentin,2.1175935522553497
SMA,5.307274185156165
CD98,1.9183524146486448
NRF2p,2.1735955329648298
CD4,1.9914003998710053
CD14,2.2488425757197716
CD45,2.492501889992726
PD1,1.788884013098272
CD31,1.07851854872664
SDHA,1.9245744555124482
Ki67,0.7129859561837167
CS,1.799041940661982
S6p,2.180612917002139
CD11c,0.9612391952832589
CD68,1.315026778550366
CD36,0.730137537746758
ATP5A,1.9576577388381176
CD3,1.8009452753918707
CD39,1.9146437873846474
VDAC1,5.488228739626103
G6PD,8.793320794441534
PKM2,1.796107167737581
ASCT2,6.11146307268629
GLUT1,2.1277523769098505
CD8,1.1236677358276423
CD57,1.418215186045461
LDHA,1.9153990265733178
IDH2,1.739992204668146
HK1,2.611868251920866
Ecad,1.7142254650803679
CPT1A,4.366104056146925
CK,2.3527945758828683
NaKATPase,1.9204412973222467
HIF1A,0.8754119311634042
