target,imp
H3,1.8355998524850767
vimentin,1.889653629041505
SMA,1.716593584945646
CD98,3.306670050422918
NRF2p,1.7463752322154857
CD4,1.9198872233924873
CD14,2.0041326195859877
CD45,1.5706667441072433
PD1,2.5287473386339965
CD31,3.6544536062841377
SDHA,1.6389252154535432
Ki67,2.008339594751484
CS,1.9595254198834602
S6p,2.302239655010263
CD68,6.5483592962044135
CD36,3.6776156346927955
ATP5A,1.6904773634087968
CD3,2.1369701695806316
CD39,2.4633678315738816
VDAC1,1.5448054882577693
G6PD,1.5051618060463532
XBP1,1.9498291420734668
PKM2,1.666661908398913
ASCT2,1.717458975562262
GLUT1,1.711035359980003
CD8,1.6262559540265509
CD57,2.2129838947322296
LDHA,2.0048162820211837
IDH2,1.2551501493467898
HK1,1.8342359192092699
Ecad,1.4874508804556021
CPT1A,1.6392497161254291
CK,1.9876122795375375
NaKATPase,1.870515258233446
HIF1A,1.8639167086421353
