target,imp
H3,1.9101271126063173
vimentin,4.77470464332106
SMA,3.980822224235414
CD98,1.5818872273008582
NRF2p,7.010549692284078
CD4,1.5132903018560264
CD14,1.5039935962244713
CD45,3.2276526333671147
PD1,0.9958434777428654
CD31,0.43376109620155534
SDHA,1.129254112246375
CS,0.9077080916420648
S6p,3.46918537471158
CD11c,0.3856727507429173
CD68,0.8088817775921604
CD36,0.3791167316867415
ATP5A,1.3370932092493835
CD3,0.44410866235463414
CD39,1.2133714717018789
VDAC1,1.2781172674641639
G6PD,1.1359404269580922
XBP1,1.345457577029662
PKM2,3.2160249679982456
ASCT2,3.0294532103048324
GLUT1,1.4975595785600402
CD8,0.7217352831904388
CD57,1.0427196919802575
LDHA,1.5327719613684296
IDH2,0.9612750075145778
HK1,2.4798638208611754
Ecad,1.7822572787729098
CPT1A,1.028754019569207
CK,3.5831496361530024
NaKATPase,2.5369884548591908
HIF1A,1.1397357307508924
