target,imp
Epithelial,2.2731169356271037
Imm_other,1.8803294326517064
Myeloid_CD68,2.9927759048640223
Myeloid_CD11c,1.8973538838905073
Tcell_CD8,2.0374752215752925
Fibroblast,2.9104277453538954
Tcell_CD4,2.413738121191597
ASCT2,3.2296761726803402
ATP5A,1.508569095660687
CD11c,1.790647488763195
CD14,1.832786408216098
CD3,1.5675446920937701
CD31,1.9084515682609609
CD36,2.053941644530872
CD39,2.1192545525416357
CD4,1.85855447044303
CD45,2.116014261430865
CD57,1.9068691168164367
CD68,1.5921398151594062
CD8,2.042112856309065
CD98,1.891984163260882
CK,1.5211317484509268
CPT1A,2.0336178404943532
CS,1.780876116408515
Ecad,1.7960768187993807
G6PD,2.4632266488933623
GLUT1,2.1038432474139435
H3,1.5935789192774843
HIF1A,1.9500959011828514
HK1,2.087083362744387
IDH2,2.0316334244484096
Ki67,1.739303021616486
LDHA,1.916887401590819
NRF2p,2.862619228713976
NaKATPase,1.953638150385896
PD1,1.834713688499101
PKM2,1.888309112653719
S6p,1.6653715872362207
SDHA,1.8976972870644244
SMA,1.589803695002058
VDAC1,2.4775004550965165
XBP1,1.9034349738844123
vimentin,2.0875123196188277
