target,imp
Epithelial,3.257475561300818
Imm_other,2.453589054459906
Myeloid_CD68,1.2663792573553372
Endothelial,2.989678378126385
Myeloid_CD11c,1.9650074843003147
Tcell_CD8,1.8877392186233357
Fibroblast,1.7536318921772545
ASCT2,1.5912265073976832
ATP5A,2.7617230242945037
CD11c,1.4974166777416869
CD14,1.5907203944314714
CD3,2.330871670695241
CD31,1.9408084153479737
CD36,1.9823963939718352
CD39,1.5565205953322938
CD4,1.2342793087149666
CD45,1.2754251893447892
CD57,1.7756859925547104
CD68,1.5674805370717173
CD8,2.34173649807458
CD98,1.18525358542285
CK,0.8856518866333174
CPT1A,0.7557383577350927
CS,1.198694406626116
Ecad,1.0738558750687068
G6PD,1.584781884723099
GLUT1,1.5360972876685537
H3,1.7626200791329751
HIF1A,1.2148247019154426
HK1,2.9177941645924532
IDH2,1.1907938307063224
Ki67,1.2593608565230408
LDHA,2.046698439651501
NRF2p,1.0026470682413555
NaKATPase,1.2582489048440644
PD1,3.1627879609661904
PKM2,1.2986272939522672
S6p,1.0017440727309086
SDHA,0.880955946896213
SMA,1.2358661036861884
VDAC1,1.2169826020641006
XBP1,1.6577339255325283
vimentin,1.7440125092231784
