target,imp
ASCT2,3.379482491182998
ATP5A,2.9285505094286894
CD11c,4.461362118685174
CD14,6.232613897771555
CD3,3.906597734910429
CD31,4.400102984057407
CD36,3.511615901339648
CD39,3.1357715635002825
CD4,3.4743984651768676
CD45,6.129463198218284
CD57,3.3171591808668306
CD68,10.872505045528369
CD8,4.17051801924526
CD98,3.1493503596583126
CK,3.846853048215705
CPT1A,2.4147069473282525
CS,3.012994440008258
Ecad,3.1116642772334755
G6PD,3.0752710616597523
GLUT1,4.195964286163622
H3,2.566942472217392
HIF1A,3.6553831815330566
HK1,2.9348096954702823
IDH2,4.327948302153043
Ki67,5.081757957735877
LDHA,3.8088889678650237
NRF2p,3.5735405852876805
NaKATPase,5.660528761676161
PD1,3.7037384770357384
PKM2,3.7647388160896775
S6p,2.7405065501592496
SDHA,2.602107977216631
SMA,3.79090637868784
VDAC1,3.0186147615373677
XBP1,3.3805200541577745
vimentin,6.020037001492447
