target,imp
ASCT2,1.9228329791681062
ATP5A,1.320954905339573
CD11c,2.468979689611694
CD14,1.467910886939054
CD3,3.166300717802452
CD31,2.3492050551940706
CD36,2.444151647045737
CD39,1.461405660173006
CD4,2.1740116718130293
CD45,2.2577458324962865
CD57,2.5011620350208585
CD68,3.1541051085214162
CD8,11.71136681835635
CD98,3.2162796381329355
CK,1.9359605042376833
CPT1A,1.8485633456095867
CS,1.5587220426199955
Ecad,3.041110225412977
G6PD,2.3755221513786977
GLUT1,1.5353019597311117
H3,2.9408556645260107
HIF1A,2.297428988130095
HK1,1.6954917322415355
IDH2,3.5475958502849263
Ki67,2.177242643728137
LDHA,1.8468361537128803
NRF2p,1.5413101046857411
NaKATPase,2.095918725621832
PD1,1.3343670480226337
PKM2,1.5436777054036748
S6p,2.038115320074853
SDHA,3.1276064543756656
SMA,4.032910103352477
VDAC1,1.7207921596227782
XBP1,1.593193577583581
vimentin,1.8007833948259957
