target intercept intra para.89 p.intercept p.intra p.para.89
ASCT2 0.00400502741928286 1.06075004994924 0.0539924714195864 NA 0 0.0421768260936397
CD14 -0.0150641028896146 1.07154991566473 0.119133856948249 NA 0 7.1797678913299e-11
CD31 0.0126609975578414 1.28680913567846 0.247971429417357 NA 0 1.7608137170555e-13
CD39 -0.00151413413615014 0.998174163904363 0.0554673780263897 NA 0 7.84385719136971e-05
ATP5A 0.000650585184391117 1.05931084064302 -0.0466921748434424 NA 0 0.00182526457629661
CD45 -0.00657979190865592 1.06349059343978 0.0630932948951036 NA 0 0.00362597578079349
CD3 0.0120487515665777 1.07618568889013 0.0789689457239669 NA 0 0.000597878296565879
CD68 0.0030233466072386 1.06467215765376 0.0878207752213177 NA 0 2.83444086424112e-07
CK 0.00323209178159785 1.03445496700698 0.0191186458657973 NA 0 0.196966574936862
CD36 0.00538268153897638 1.13814423761554 0.0819495567894616 NA 0 0.00781420277935196
CD4 0.0132529988438896 1.03877955926321 0.0479139189231612 NA 0 0.00859422493825091
CD11c 0.00837011227770468 1.07353296836617 0.161396978432403 NA 0 4.66315730029976e-07
CS 0.00156899121578741 1.00072851344845 0.0459138192564581 NA 0 0.00182073283642081
CD57 -0.0171780080168922 1.18970448713416 0.0450670903443613 NA 0 0.203611919182407
G6PD 0.00355207786318562 1.11867974908734 0.0370619156977295 NA 0 0.252969648001786
CD8 -0.0155589650946043 1.07477680231747 0.0531881412024942 NA 0 0.0447874972374687
H3 0.0119024997733997 1.0103003987232 0.100587243916532 NA 0 1.87844984012031e-09
HK1 -0.00138277697678586 1.12884018725194 0.0348121619052695 NA 0 0.198938014295626
CPT1A 0.000239654520734992 1.02923761078858 -0.00577202259889219 NA 0 0.66699774587465
LDHA 0.000397964640387396 1.01335042392393 0.0746694901469537 NA 0 3.20967504330305e-06
Ecad 0.00235379348983851 1.03586407186227 -0.00240879306941552 NA 0 0.860199527143609
PKM2 -0.000301481011170712 1.0980555596129 0.0196432400489844 NA 0 0.345499251454631
NaKATPase 0.00707383270594628 1.02544923848459 0.0310710375956615 NA 0 0.0399659224667621
GLUT1 -0.00408552333944107 1.04012599078304 0.0388260918970291 NA 0 0.0275545721973451
SDHA -0.000154391421476437 1.05490653658865 -0.0381408137346394 NA 0 0.0148073847362105
CD98 0.00956219757510123 1.03037400543279 0.0540024134068754 NA 0 0.00100169305290287
VDAC1 0.00592429530839796 1.14856958043806 -0.00477082442973583 NA 0 0.844833675707671
IDH2 0.0020091147457094 1.04070174741402 -0.0135429521644263 NA 0 0.312036568545635
HIF1A 0.00237833594069815 1.07819322493058 -0.0479326303067474 NA 0 0.014175738823754
NRF2p 0.000492526712614141 1.02950378483938 0.0216852221627744 NA 0 0.139875324307994
S6p 0.000289482225167278 1.06227914172293 -0.0232795787999634 NA 0 0.1369049576919
PD1 0.0064771036299611 1.02138254414271 0.138307294270636 NA 0 8.22269732303482e-08
SMA 0.0177425012991323 1.1541119378148 0.253145187946059 NA 0 2.22044604925031e-16
Ki67 0.0004819710570109 0.963746887186535 0.183738094998449 NA 0 0
XBP1 -0.00397356168331534 1.15238433771165 -0.0277371850527581 NA 0 0.384818541893201
vimentin -0.00698254251628879 1.0467850660471 0.19789070440469 NA 0 0
