target,imp
ASCT2,1.4373806559912203
ATP5A,2.6473995830465578
CD11c,1.4728319601609576
CD14,1.1792955706157544
CD3,1.58313733117853
CD31,1.2048026496884667
CD36,1.3773945452945768
CD39,3.6406264601354237
CD4,1.0566956462830182
CD45,1.1766185788520034
CD57,1.3130432903023066
CD68,1.058173923258333
CD8,1.1748810358742299
CD98,1.1033396721566653
CK,1.391744396586188
CS,1.6304943726047396
Ecad,1.521844390911635
G6PD,1.0528115817110513
GLUT1,1.8091935601807612
H3,1.1472572085105406
HIF1A,0.9585800568472108
HK1,2.6614525146386425
IDH2,1.378092411575331
Ki67,1.4807051039060715
LDHA,2.8023996232100643
NRF2p,1.65942767168668
NaKATPase,1.0330633453554028
PD1,1.7734750363226173
PKM2,1.246669651041846
S6p,2.169572910058383
SDHA,2.6790334604041446
SMA,1.3996875335114236
VDAC1,1.065116842441008
XBP1,1.2489543454705494
vimentin,1.9220635305395655
