target,imp
ASCT2,0.1847347624556143
ATP5A,0.13097412093000863
CD11c,0.17148664515713472
CD14,0.1772213774724716
CD3,0.1537193110731884
CD31,0.15621202421273922
CD36,0.19095376975220055
CD39,0.18989925156083218
CD4,0.1272620641121821
CD45,0.3057722794021105
CD57,0.1337878296130093
CD68,0.1852687647216005
CD8,0.2538453440802246
CD98,0.15292891408361553
CK,0.14396038485939952
CPT1A,0.2907934147778303
CS,0.1686749097525012
Ecad,0.15202502553791114
G6PD,0.12757606079541683
GLUT1,0.13522337171498536
H3,0.14230364324063435
HIF1A,0.21451485293948175
HK1,0.11800605835395432
IDH2,0.16624091849907963
Ki67,0.22869611899356795
LDHA,0.1512594138316495
NRF2p,0.22076603575686665
PD1,0.14110996182542143
PKM2,0.1959468439719471
S6p,0.1982514194454891
SDHA,0.18581146124117118
SMA,0.21110741290641083
VDAC1,0.11768159999924732
XBP1,0.18356040184162828
vimentin,0.3300237685335495
