target,imp
ASCT2,1.227888275736927
ATP5A,1.7232345149423534
CD11c,1.219986179149949
CD14,1.2615648106650823
CD3,1.1612643978736208
CD31,1.2601706603184768
CD36,1.22068678311453
CD39,2.651729625316155
CD4,1.1532656062665767
CD45,1.1053693184236795
CD57,1.2264573574069444
CD68,1.32168035810773
CD8,1.076389414957666
CD98,0.981571897864615
CK,1.1978096530636895
CPT1A,1.5041029830997843
CS,1.1990625174071319
G6PD,1.132073401124576
GLUT1,1.9771822946838649
H3,0.9397457647549393
HIF1A,1.0454834064232248
HK1,1.951724822827256
IDH2,1.6974783988275342
Ki67,1.349998413463734
LDHA,2.297799986677018
NRF2p,1.5469441366787433
NaKATPase,1.1510694277205553
PD1,1.4579089495335138
PKM2,1.6056704099648125
S6p,1.5597284809289278
SDHA,2.274165512663612
SMA,1.091805706143771
VDAC1,1.0292683027287604
XBP1,1.2257591418001654
vimentin,1.7899837107177523
