target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
ASCT2 0.0345835733031754 74.9524401874905 0.0345960489228106 74.9287561621913 0.505287989061022 0.506043115599589
CD14 0.0366159856625093 85.6644206550726 0.0363818988532652 85.839022954293 0.430063836575696 0.461511419003428
ATP5A 0.0350870524018773 94.1745179458221 0.0351131346942929 94.1650493075961 0.507381292582586 0.507114380030726
CD31 0.032345194065666 85.0603442335025 0.0322672452343658 85.1261713486372 0.484718755772033 0.483476113143754
CD3 0.0352882200755377 87.7335826494688 0.0352383248444062 87.7531783978995 0.485286904502374 0.494595734451997
CD39 0.0341555467562861 91.8199688344288 0.0340371431145406 91.8636441921581 0.461534857261978 0.477360124395954
CD11c 0.0259884360455801 74.1370187497033 0.0260475871560043 74.0190921487289 0.513106351786059 0.509857628851455
CD36 0.0304628325973175 72.2888255239271 0.0303083275078195 72.5656174747882 0.476813337403376 0.46329157292989
CD45 0.0313133940715897 79.2760249867595 0.0310451745320158 79.6305868132902 0.413612889905869 0.432393672227494
CD4 0.0316167289790891 91.5994192868457 0.0313627790169397 91.7245213650133 0.416566981488657 0.437602313318119
CD68 0.0377414243919348 88.0037118463232 0.0377914373920265 87.9766220871871 0.509405063753797 0.502869890979025
CK 0.0269633413211373 95.3592230758629 0.0269274489549756 95.3716328519247 0.490809232760303 0.490278069912405
CD57 0.0313554644762653 66.3800268137514 0.0313582218411359 66.357964550168 0.500474690017779 0.502713004762486
CS 0.0308532733360602 93.1969769926627 0.0308773474654464 93.1872285787659 0.505606542708598 0.504096988322415
CD8 0.0362295837174014 73.8697708285104 0.0362326943572415 73.8710212009424 0.500539063423781 0.499789697030626
CPT1A 0.0364119358453662 95.157256561651 0.036482627303476 95.1317272843102 0.520023641587527 0.520092049724906
G6PD 0.0339063130337546 80.5775601431366 0.0339215613445132 80.5599524510844 0.507030495234257 0.505287858590102
CD98 0.0377266033306146 89.8633622591534 0.0377036394026651 89.8773250745085 0.493292915625898 0.492813246913674
H3 0.0381453019489601 90.8591167690714 0.0381626806904744 90.8521369135427 0.505620464913019 0.504726104843789
Ecad 0.034732673629554 93.4434330173815 0.0346326192895852 93.4816226908727 0.472726983170038 0.477059458893272
HK1 0.0314805274912352 79.6387948894695 0.0314170348912025 79.7128722019685 0.486137676489722 0.483452248629243
GLUT1 0.0361078207378611 91.5399461570386 0.0359017693905277 91.63166028631 0.46807028088938 0.471795471847379
LDHA 0.0357096333867701 92.5369696188629 0.0357521855360347 92.5202417766707 0.507365452853298 0.507038120563681
HIF1A 0.0378735331192379 90.1636030401311 0.0374084927618638 90.3897038894432 0.433228562261569 0.424223458511435
NaKATPase 0.0350395362411715 91.1537171454307 0.0347512418950275 91.276786774093 0.423276063674773 0.469902202229612
IDH2 0.0335752946417614 93.3080581682413 0.0336335510511087 93.2881452513102 0.52667106441921 0.515493553291929
PKM2 0.0299625296540384 74.8591782523069 0.029989891433368 74.8162263821654 0.506874437151743 0.506508455210711
NRF2p 0.0353774335353369 94.1931882431503 0.0354576952931071 94.1683045116938 0.530068447831739 0.52479959942517
SDHA 0.0368919355245776 93.8731818106353 0.0366763023719784 93.9423601457166 0.461212311904671 0.464249414150241
PD1 0.0320446680526101 84.2390407505638 0.0320308984271975 84.2374038630839 0.496325984506193 0.500408938221319
Ki67 0.03352901113876 84.0607676307391 0.0334071756488871 84.1479719754295 0.47713787247566 0.481877047607368
S6p 0.0328170467113254 93.7316334285131 0.0323482720707402 93.9066977800961 0.377692904380589 0.372132791717136
VDAC1 0.0315978704931575 84.0870200769456 0.0316185022727717 84.0641128909323 0.50386994268961 0.504053365486451
SMA 0.0339940916013305 70.9522321184044 0.0335001656083368 71.8313497144044 0.315293612810183 0.342508012627929
XBP1 0.0364920310845408 75.6384982582873 0.0364943771947183 75.6558721955253 0.500928773310464 0.496660907667756
vimentin 0.0388204732070102 82.9491827135315 0.0385959648654561 83.1519746230785 0.437008928153423 0.448000817395599
