target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
ASCT2 0.0348635801142323 77.8930803913731 0.0348096330945741 77.9736913822855 0.48282179148978 0.482544599825101
CD14 0.0356691893277668 89.5102283166171 0.0356203745508139 89.5400553721755 0.478930118183258 0.483558894625454
CD31 0.0376545621544002 77.0844916074657 0.0373873308392711 77.3797186972547 0.447415497848336 0.456690866738688
CD39 0.0340985248607327 92.2485102051583 0.0338971927003885 92.3373550397818 0.393861841375047 0.414553518092639
ATP5A 0.0335909832976279 94.8315019858772 0.0335956239721713 94.8295338507246 0.502111315251464 0.502812852652367
CD45 0.029400718420984 85.2005458388559 0.029056833302517 85.5443785579336 0.38722052233993 0.3670541724793
CD68 0.0413574577637752 91.0993801908593 0.0409064413390014 91.2993821770319 0.3312040692462 0.408995166369273
CD3 0.0364696461242322 86.9789152029904 0.0364755515017509 86.9749867471199 0.502231560222033 0.501795497944709
CK 0.0255613632549968 96.0161699444521 0.0254996571919721 96.0362408530432 0.46680144134691 0.470643877298128
CD36 0.0306443835742703 77.6552800020487 0.0306777553149048 77.6085489911315 0.508500075112196 0.507813575691096
CS 0.0328879955461588 92.8729960247957 0.0328857680928988 92.8744124795556 0.499220612772243 0.498548892147703
CD4 0.0343743694054573 90.5503683361159 0.0344031284997036 90.5347983982368 0.512098010179508 0.510957666971124
G6PD 0.0355822192869785 79.5659113694891 0.0356138982884336 79.52947646615 0.507975620166662 0.507642978081283
H3 0.0365788340504416 92.6910505424024 0.0363091137125678 92.8043920590515 0.422364300781781 0.4182785909811
CD11c 0.0320033235575517 75.033723634849 0.0317291041050745 75.4683975280225 0.441550106434378 0.4475997995112
CD57 0.0317274237021335 64.7650801352459 0.0317584251118734 64.696586853049 0.51374343645456 0.512378768430365
HK1 0.0320033371350559 78.7413302626048 0.0319953854640243 78.7430336771532 0.49572827319755 0.499401952995218
CD8 0.0333874717372974 78.1084728523693 0.0333892225176378 78.1177422993543 0.500499967228428 0.4979485810415
LDHA 0.0334048458214542 93.6536268264229 0.0334139318149345 93.6502237434438 0.502966936384291 0.502559069644956
CPT1A 0.0340939476550145 96.144995488434 0.0340687469156586 96.1509716141752 0.488377582593839 0.489159747211323
NaKATPase 0.0338277030469671 92.5694746597746 0.0337724320655909 92.5973700016527 0.479486643103715 0.481712041017586
Ecad 0.0379858549570888 92.271456970763 0.0379776606793645 92.2772780445332 0.497046775376789 0.49488738018628
PKM2 0.0315531552898983 76.7188391119237 0.0314736224652573 76.818247501927 0.476762829544202 0.480309337749446
SDHA 0.0347220278318394 94.7150831551753 0.0347325952361868 94.7118156606429 0.504573713482363 0.503975717581829
VDAC1 0.031526047908646 86.2597613318918 0.0314789857644619 86.2952833379642 0.487036360806948 0.488863659818996
HIF1A 0.0314285888703674 92.5141187357161 0.0314389011715651 92.5085607438592 0.5019248095931 0.502813451494874
GLUT1 0.0337377964424752 92.5439522889754 0.0332412646876422 92.7706392639662 0.284951485994546 0.319560929151153
IDH2 0.0315476077906847 94.4859205058039 0.0315256615822751 94.493087171572 0.493410246769439 0.49421645769959
NRF2p 0.0380898338411031 93.4898476104796 0.0380714299632694 93.4988405924483 0.490580676045358 0.488600084474963
CD98 0.0368488655705129 91.0022690079961 0.0368656401406663 90.9932608279941 0.50919590121004 0.507295974931683
PD1 0.0324715364938098 86.8277254168332 0.0324569046413431 86.839294932684 0.4953912744495 0.494530976710086
S6p 0.034409269307828 93.2407762797653 0.033997656704557 93.4158116073653 0.379079891217928 0.401623579832184
SMA 0.0338751565047892 71.3738718703787 0.0333679580376147 72.1998609960421 0.348697695831798 0.364055329167773
XBP1 0.0348449551976932 79.7966622721975 0.0348338239756567 79.8085106215386 0.496347619169451 0.49643116942338
Ki67 0.0384666433895883 80.6651960781137 0.0384706281983106 80.6606801735401 0.500653472431657 0.500796679329276
vimentin 0.0395441779676535 84.6357591550625 0.0394983305346216 84.6709439214782 0.476874932432414 0.469510620691037
