target,imp
ASCT2,0.17516147640363436
ATP5A,2.2962532803990556
CD11c,0.7575327522276109
CD14,0.34405045631094155
CD3,0.2661900971412043
CD31,0.11777340765953667
CD36,0.17666225982406902
CD39,1.7388203590254128
CD4,0.6067954713294939
CD45,0.5528854357697296
CD57,0.10175686332309636
CD68,0.14508221729055074
CD8,0.0819455393368476
CD98,0.9511144774436032
CK,3.2798537623291084
CPT1A,2.9507485218468803
Ecad,2.424981713983172
G6PD,0.10479124154271964
GLUT1,1.1331228788781664
H3,0.3274177715613785
HIF1A,2.3806372231720454
HK1,0.14678042616220693
IDH2,0.5375865633529339
Ki67,0.5501874046505874
LDHA,1.024953365599954
NRF2p,6.086422326347229
NaKATPase,0.8121993068342672
PD1,1.1092186733137739
PKM2,0.1793562520765471
S6p,2.232870544792153
SDHA,3.4914170062225174
SMA,0.12506528131848857
VDAC1,0.3108613558796554
XBP1,0.5728195068407959
vimentin,0.17278966045191838
