target,imp
ASCT2,1.2300924794712318
ATP5A,2.5041219800576537
CD11c,1.3990456771051942
CD14,1.1916233112291459
CD3,0.9999084327951592
CD31,1.286448477864803
CD36,1.4753285385488317
CD39,2.9372413910422654
CD4,1.1940867614005424
CD45,1.2640935126722024
CD57,1.4386083619222172
CD68,1.2426861132604485
CD8,1.1729462550660361
CD98,0.8834816087812993
CK,1.2245068191882866
CPT1A,1.4093020666425398
CS,1.8883413354341783
Ecad,1.2954333264650344
G6PD,1.1203732534689694
GLUT1,3.6676881176308482
H3,0.9639650726757547
HIF1A,1.074728048332918
HK1,3.73171618690727
IDH2,1.7858033577421728
Ki67,1.3711454004599957
LDHA,4.491379325393436
NaKATPase,1.0246758792534405
PD1,1.1016401090307353
PKM2,1.234782778569646
S6p,2.4900637679001716
SDHA,2.3086538367598575
SMA,1.277415599520233
VDAC1,1.0199245065384481
XBP1,1.155752629810536
vimentin,4.221877292292234
