target,imp
ASCT2,1.0490883889950002
ATP5A,0.5552175875329111
CD11c,0.32428454539865526
CD14,0.2883269031165072
CD3,0.30055227241722354
CD31,0.29417366829217784
CD36,0.32926940448855413
CD39,1.391382855952462
CD4,0.36185472466330865
CD45,0.27230191217592475
CD57,0.32021623973212227
CD68,0.36129326187946686
CD8,0.31330200003203457
CD98,0.31231106170492606
CPT1A,1.582258511258974
CS,1.4179639493757328
Ecad,1.17712930164654
G6PD,0.4662800128069891
GLUT1,0.988490141264904
H3,0.3029106804196902
HIF1A,0.7360156415936885
HK1,0.3655729964242658
IDH2,0.6292401126175872
Ki67,0.672993888044487
LDHA,0.4448954488409001
NRF2p,1.0249535031611456
NaKATPase,0.2877181549686115
PD1,0.3281320200985897
PKM2,0.26004814044302604
S6p,1.3529956623184463
SDHA,1.0930299258591218
SMA,0.41757246237833556
VDAC1,0.7742296374903497
XBP1,0.33006157510113704
vimentin,0.3097897642454347
