target,imp
ASCT2,0.68358884846417
ATP5A,0.25018468750392736
CD11c,0.07067549237053106
CD14,0.18170687663401142
CD3,0.3070162363908933
CD31,0.07906512828369205
CD36,0.0758734966179582
CD39,0.6275278120778643
CD4,0.18352887244083152
CD45,0.43628626602053827
CD57,0.07096117934663451
CD68,0.33547920832282246
CD8,0.20712560690371248
CD98,0.3763608484187388
CK,2.5234430675929524
CPT1A,1.7787722675809787
CS,0.27483852305910905
Ecad,1.3723337335162966
G6PD,0.14605970241478028
GLUT1,0.4978808350193467
H3,0.13360392215135636
HIF1A,0.6128116001292059
HK1,0.08256959142501334
IDH2,1.1742703628006084
Ki67,1.0279397206162715
LDHA,0.4674615393343695
NRF2p,1.665567802420079
PD1,0.2643490009366163
PKM2,0.19751299356688265
S6p,0.7924566445843395
SDHA,0.6909043238257537
SMA,0.3197756496278971
VDAC1,0.14226014447920943
XBP1,0.0815952397764611
vimentin,0.7905065334119373
