target,imp
Epithelial,1.5720352293072875
Imm_other,1.9657522233083697
Myeloid_CD68,3.2071131533565786
Endothelial,1.3216330034724606
Myeloid_CD11c,1.6282815068118317
Tcell_CD8,1.2078458209139311
Tcell_CD4,1.7527657981207394
ASCT2,1.2135065172053092
ATP5A,1.2125403916764217
CD11c,1.7399864226264727
CD14,1.624569142744568
CD3,1.8518009191390437
CD31,1.6491194687991801
CD36,1.5416291645165736
CD39,1.7260626400505006
CD4,1.3272694757379901
CD45,1.9378740092050242
CD57,1.2419288569220386
CD68,1.1361226510461926
CD8,1.6990677410619812
CD98,1.6901555426086465
CK,1.8611373831752056
CPT1A,1.6001025909221465
CS,1.3757611866647645
Ecad,1.221640202483167
G6PD,1.5871894329732184
GLUT1,1.7281604463587066
H3,1.7826246756510724
HIF1A,1.487480618375232
HK1,2.079833150485154
IDH2,1.2956363334700536
Ki67,1.5372950883285534
LDHA,1.057155886159735
NRF2p,1.4258912537487194
NaKATPase,0.980983405475845
PD1,1.4911883816679807
PKM2,1.6416916296176987
S6p,1.0764888620907351
SDHA,1.2973978669270088
SMA,2.1880044298668957
VDAC1,1.6968728283936687
XBP1,1.4703527275228523
vimentin,1.8638693253804524
