target,imp
Epithelial,1.8693632241093987
Imm_other,3.482756160441131
Endothelial,2.1298531201469073
Myeloid_CD11c,1.6040767491837271
Tcell_CD8,1.8869153353460788
Fibroblast,2.8205869605578595
Tcell_CD4,1.9808849045264696
ASCT2,2.812682535170349
ATP5A,1.2463765878162407
CD11c,1.9741719409189629
CD14,1.6426710895752379
CD3,2.0206689842573042
CD31,1.5387884287712863
CD36,1.6349015337362376
CD39,3.283148512256761
CD4,2.1511410085161975
CD45,1.9745004757746285
CD57,1.532731617624355
CD68,2.0125184477124725
CD8,2.2047138157190975
CD98,3.905458931100623
CK,1.787315364795796
CPT1A,1.7129607770677444
CS,1.47888015242102
Ecad,2.4913521099531266
G6PD,2.388270729439385
GLUT1,1.8620329372084665
H3,1.842354241744698
HIF1A,5.365297268710906
HK1,2.0598212117943215
IDH2,1.749047602044896
Ki67,2.9055532842308605
LDHA,1.379187980144305
NRF2p,2.086893521840235
NaKATPase,1.7333993900957738
PD1,1.6062919780282718
PKM2,1.974124452388881
S6p,1.222750414778234
SDHA,2.0508186821546754
SMA,6.751380722659465
VDAC1,2.2816279086688804
XBP1,3.057386292908317
vimentin,1.758690301060721
