target,imp
ASCT2,3.4305473357229164
ATP5A,2.1866100239175763
CD11c,2.025421923171607
CD14,2.7037353873888366
CD3,2.3647734370470825
CD31,2.4920987157059304
CD36,2.603618726821656
CD39,2.507126095536301
CD4,2.468283679695285
CD45,2.253467758070856
CD57,2.6303608511475285
CD68,2.355447008475729
CD8,2.3603468087586035
CD98,2.128932835629746
CK,1.7514905077032878
CPT1A,2.499912735724097
CS,2.128317227160672
Ecad,1.978108688354468
G6PD,2.6565873007047505
GLUT1,2.594906544648091
H3,2.030505560215362
HIF1A,2.527743912583363
HK1,2.307917808328909
IDH2,2.1215564095259962
Ki67,2.519096845874697
LDHA,2.5215798958287756
NRF2p,3.192851368373969
NaKATPase,2.8476289474110126
PD1,2.2671478577250097
PKM2,2.676075501795036
S6p,2.1615114651112988
SDHA,2.219218264791169
SMA,2.6607985497408815
VDAC1,2.7922341783849953
XBP1,2.056981696830522
vimentin,2.338943313558088
