target,imp
ASCT2,1.9521421848208373
ATP5A,1.4886406533901453
CD11c,2.669257421975252
CD14,1.8210403876922892
CD3,1.755632341482052
CD31,2.7384360409510258
CD36,1.5974018875328972
CD39,2.225911895073547
CD4,1.8863172349412767
CD45,2.140373267766331
CD57,2.1245902801395773
CD68,1.8604714595463379
CD8,1.907072136531983
CD98,2.015378246379797
CK,1.7508779627677142
CPT1A,1.6763780945841682
CS,1.5300347010422826
Ecad,1.5105555773682295
G6PD,1.9436520007889704
GLUT1,1.954702971526346
H3,1.8395283657615442
HIF1A,2.006418240856902
HK1,2.4850512465287595
IDH2,1.7329573324787022
Ki67,1.363471924908057
LDHA,2.043345892242932
NRF2p,1.451260048195692
NaKATPase,1.646438028338134
PD1,2.1461606065162555
PKM2,2.088500457910691
S6p,1.4051515881920862
SDHA,1.3469405533080028
SMA,2.2477886101746867
VDAC1,1.6976984569127638
XBP1,1.8810540041213213
vimentin,1.9366852816224207
