target,imp
ASCT2,10.877430850029633
ATP5A,4.870903772724876
CD11c,3.9957397008687554
CD14,3.40051451840362
CD3,3.7403703438845564
CD31,7.137709865123224
CD36,3.8670390481480443
CD39,3.2521618404682386
CD4,2.8866900001273468
CD45,27.935022157935336
CD57,2.5427578840913263
CD68,3.018191428304213
CD8,22.686275344953323
CD98,3.469004733838076
CK,4.210927042654406
CPT1A,2.442128883947537
CS,2.4594166475705754
Ecad,3.4574024575053812
G6PD,8.41063258461134
GLUT1,2.119329911456527
H3,2.407342532066844
HIF1A,9.121097900055283
HK1,4.185528991289854
IDH2,2.391075833877125
Ki67,8.826981226050027
LDHA,3.0188828879067597
NRF2p,5.602954199593409
NaKATPase,15.188047099711973
PD1,5.408539233185993
PKM2,1.8695622501413884
S6p,2.066809163564469
SDHA,2.242008687779851
SMA,28.414018085654615
VDAC1,4.834359897117383
XBP1,1.9749340226575853
vimentin,18.54572890890526
