target,imp
ASCT2,1.371509744172003
ATP5A,1.1270467524245968
CD11c,1.090972719413597
CD14,0.9094869879794186
CD3,6.099829744204317
CD31,1.2634572811991192
CD36,2.266083436004304
CD39,6.685881824172411
CD4,2.380359910989402
CD45,2.88610873586354
CD57,1.6373636486721688
CD68,1.559209943245361
CD8,1.6550241679774274
CD98,4.748080436268295
CK,7.326732702743978
CPT1A,3.3545981155803246
CS,1.54408900646281
Ecad,2.94843418559774
G6PD,1.427742147918574
GLUT1,2.526793977777457
H3,1.7677400514585637
HIF1A,4.311113070240251
HK1,1.1354880083085166
IDH2,2.0954732219251815
Ki67,2.4152672249498948
LDHA,1.5492652829105555
NRF2p,2.294250074764184
NaKATPase,1.7361438450585525
PD1,2.228718358655849
PKM2,1.9791828108532326
S6p,1.1911071276042042
SDHA,1.9328786195773233
SMA,12.64035928070899
VDAC1,1.5400810344314217
XBP1,4.555201474676338
vimentin,1.241439399277091
