target,imp
ASCT2,3.09855046747813
ATP5A,1.5029062350993494
CD11c,2.7141298460909957
CD14,2.6844950187135823
CD3,2.1423493712089137
CD31,2.083907815295277
CD36,2.5909389715552056
CD39,3.321639550063104
CD4,2.5733061104633634
CD45,2.103515675286813
CD57,2.100237432677499
CD68,2.325756138050423
CD8,2.5532476408320646
CD98,5.142067297571549
CK,3.009276963487909
CPT1A,2.51805721075802
CS,1.6452913018898334
Ecad,2.193546028728027
G6PD,2.6582646546272777
GLUT1,2.3556519494139723
H3,2.3962792144491645
HIF1A,5.697888005559166
HK1,2.003343659888497
IDH2,1.8989439988209746
Ki67,3.2090295045985062
LDHA,1.9968207250747125
NRF2p,2.0962404371427423
NaKATPase,1.488631982854918
PD1,2.5614710603490334
PKM2,2.4653567748849206
S6p,1.773089000108724
SDHA,1.7503085139477108
SMA,7.5557936618162564
VDAC1,1.8779168777288104
XBP1,4.668487260286177
vimentin,2.5896113305986894
