target,imp
ASCT2,0.07489867427595125
ATP5A,0.21845339538273476
CD11c,0.14813698595837477
CD14,0.10869030462771906
CD3,0.11060366661573681
CD31,0.09564753004900511
CD36,0.10840836781753653
CD39,0.18710785135076924
CD4,0.10950740133600725
CD45,0.12390764708055846
CD57,0.1286033449757302
CD68,0.10998663787936465
CD8,0.09636990480281257
CD98,0.09741670984586566
CK,0.07712340174588803
CPT1A,0.17268986751012017
CS,0.0653943431010209
Ecad,0.06425423706717102
G6PD,0.10388307792469677
GLUT1,0.24370276586979578
H3,0.08580216111281004
HIF1A,0.0975390107580323
HK1,0.16271920131295226
IDH2,0.08939858702166747
Ki67,0.10302051977704968
LDHA,0.274513619902474
NRF2p,0.15967546657284906
PD1,0.10360014499085768
PKM2,0.11848861972361428
S6p,0.12058419036395045
SDHA,0.14952435912451717
SMA,0.10331902789744132
VDAC1,0.07928906399599293
XBP1,0.09328163489532404
vimentin,0.1716652397015725
