target,imp
ASCT2,0.4668477077876138
ATP5A,0.36156872173535753
CD11c,0.14175448090304033
CD14,0.189895399914158
CD3,0.21382176202033543
CD31,0.09349738602099328
CD36,0.10312090556440942
CD39,0.27332222442288256
CD4,0.23184386932605555
CD45,0.9954437674123895
CD57,0.08080223106572992
CD68,0.22816525358232362
CD8,0.38148120374595734
CD98,0.21045702606337616
CK,1.4893225646680686
CPT1A,2.156676799372176
CS,0.4900596350775876
Ecad,2.035948078543234
G6PD,0.16807865487785537
GLUT1,0.7002119706832063
H3,0.14598128041211503
HIF1A,1.4087522973603552
HK1,0.12528734229958624
IDH2,0.9791659766519846
Ki67,0.38855772308701125
LDHA,0.5642764730716577
NRF2p,2.086628825516031
PD1,0.1141425676850813
PKM2,0.09091260752941965
S6p,1.570349402324177
SDHA,0.9635596474956039
SMA,0.14037209460167335
VDAC1,0.25730731734900514
XBP1,0.11233022378233695
vimentin,0.27222534494143
