target,imp
ASCT2,1.1934650635003279
ATP5A,1.496715195691592
CD11c,1.0438571994268195
CD14,1.2246282285031438
CD3,1.1314074521853161
CD31,1.179255836446298
CD36,1.046516750567927
CD39,2.2198000183418474
CD4,1.0820253215730498
CD45,1.0706910599222785
CD57,1.0209773828560806
CD68,1.0804304864265692
CD8,0.8950295396974559
CD98,0.9939212614225968
CPT1A,1.8460648607410497
CS,1.242490952815818
Ecad,1.1948915411105205
G6PD,1.0517622522693038
GLUT1,1.27299938655781
H3,0.8618620020871154
HIF1A,0.9054303674947107
HK1,1.1915506364989843
IDH2,1.9118200518035393
Ki67,1.519739780443341
LDHA,1.7493877042163573
NRF2p,1.6222578810575745
NaKATPase,1.0797346636737917
PD1,1.4130094175807713
PKM2,1.3707442877412725
S6p,1.3183973154138167
SDHA,1.9743404475112465
SMA,1.0187656520286188
VDAC1,0.9276693012165323
XBP1,1.1222274831254888
vimentin,1.422464235047151
