target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
ASCT2 0.0348991503624097 77.5097664792203 0.0348888696813758 77.5262679565957 0.496699578106646 0.495562385187593
CD14 0.0336433135320912 84.8584765277944 0.0335363138141556 84.9503586767207 0.470321052762825 0.478897115552584
CD31 0.0383175742766185 67.7132455348265 0.0383474537004945 67.6652225622682 0.506402105191428 0.503703461677313
CD39 0.029543645401104 89.8414201336204 0.0295837489268707 89.8108445784115 0.520153295743069 0.519144860599511
ATP5A 0.0352383047213916 91.8039253864769 0.0352315850036918 91.8074750011698 0.497637880539859 0.497454664732473
CD45 0.0262010359503219 80.5649449225238 0.0257509832439233 81.2563430416783 0.285499050148381 0.307783356672891
CD68 0.0400271580274278 83.5365352711602 0.0398005728220497 83.7400782027086 0.440664709984641 0.453880823612902
CD3 0.0323712052356463 88.1876273935399 0.0317663140737052 88.6363629062273 0.240088965323789 0.291352380555667
CK 0.030876956351246 91.9158204662749 0.0309027885754738 91.9027101291649 0.507693967910618 0.507099555939538
CD36 0.0335580436128576 71.3406528269405 0.0332305330345538 71.9167236555561 0.416790173605109 0.392392408776261
CS 0.033371619889729 85.110936795038 0.0333884988583937 85.0955376223468 0.505702080584652 0.505833258006
CD4 0.0316889682936545 89.7032940951316 0.0314040969183826 89.8868417055176 0.404773217752457 0.412182275902553
CD11c 0.0304118192238955 58.4010108114027 0.0299328223531434 59.6657675420144 0.291154247158941 0.372973499212994
G6PD 0.0315932984579391 73.7251257451891 0.0316067098286346 73.7023180220657 0.505854543236279 0.505763186995149
H3 0.0363879136912903 90.0105672452081 0.035911196326578 90.2575022971613 0.387210704680628 0.395950242015101
CD57 0.0353072196020771 55.6827038653892 0.0352042974082229 55.9139527575245 0.458738369573425 0.45931461167624
HK1 0.0267471377668114 78.5709196315572 0.0267300917360092 78.6024081325656 0.487839977782359 0.483813728472857
CD8 0.0353087611240436 74.3485377400762 0.0351710600030529 74.5456728174687 0.465238303826223 0.460773148408588
CPT1A 0.0338334494328751 93.6116599396229 0.0338408369374086 93.6097456097704 0.502121350143874 0.502015443019846
LDHA 0.03194521741711 92.0375029252195 0.0317537901542672 92.1308073215218 0.445453134347163 0.4398861378008
NaKATPase 0.031123191333781 86.2853685746159 0.030989305723319 86.4214771341278 0.457732837014765 0.454495519825833
Ecad 0.0365144398552671 91.3886625058643 0.03652159127133 91.3852023111141 0.502735442052241 0.502935903821767
PKM2 0.0275150293444992 64.7548751264159 0.0273539412005912 65.1697630110059 0.431379624354717 0.426460304730446
GLUT1 0.0315900910658404 90.5901731662086 0.0313216828895723 90.7539282216903 0.313162948433993 0.381042045690716
SDHA 0.037705732261792 90.524239219036 0.0376722016345439 90.5405155525095 0.481637491290973 0.486326376984662
HIF1A 0.0354033578440121 87.7775198025672 0.0354206405109778 87.7654078201557 0.507337900634092 0.51003542606304
IDH2 0.0334317231130686 91.1148022393368 0.0334173683230489 91.122924713168 0.493942423293685 0.494535448878758
VDAC1 0.0309391152338009 73.299968746785 0.0309686920943445 73.2554648941174 0.511760758650302 0.509079411430016
CD98 0.0373777551790518 87.6407687710412 0.0373951853907754 87.6290197692201 0.507680862219676 0.50588588273391
NRF2p 0.0375565225080041 87.2267003811916 0.037449398383763 87.3001014251328 0.438831306871916 0.46951232862171
PD1 0.0398494669653575 77.2989209895024 0.0394332122131889 77.7976824388104 0.356888882261776 0.392048338939887
S6p 0.0328924974179629 90.7598415561888 0.0328680039573683 90.7765151083979 0.488531550205274 0.486355884798547
SMA 0.0305656350756095 80.0694177439394 0.0296971302597148 81.2745083810189 0.222438034528947 0.26936606915362
Ki67 0.0396099641337158 75.8152681271688 0.0386606733414185 76.9651263729456 0.303478038540318 0.239577907467638
XBP1 0.0310127484580351 79.5041864429917 0.0309750249002645 79.5491649019384 0.485522123954456 0.488008787052623
vimentin 0.0369766948757556 87.1398005776531 0.0369247092724925 87.1760535649035 0.480857498257449 0.476089819899472
